Name,Local authority,Zone,Opening,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,POP-Density-1841,POP-Density-1851,POP-Density-1861,POP-Density-1871,POP-Density-1881,POP-Density-1891,POP-Density-1901,POP-Density-1911,POP-Density-1921,POP-Density-1931,POP-Density-1941,POP-Density-1951,POP-Density-1961,POP-Density-1971,POP-Density-1981,POP-Density-1991,POP-Density-2001,Distance to City of London (miles),"North of Thames [1,0]",NorthDistance,SouthDistance,Areasqkm,ID-Rail,CumulativeRailStationsAtDate,ID-Tube,CumulativeTubeStationsAtDate,PopDensityAtDate,PopDensRank1841
Barnehurst railway station,Bexley,6,1895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,53,9,22,0,590,25
Bexleyheath railway station,Bexley,5,1895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,53,9,22,0,590,25
Eltham railway station,Greenwich,4,1895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,53,13,22,0,3681,12
Kidbrooke railway station,Greenwich,3,1895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,53,13,22,0,3681,12
Wandsworth Common railway station,Wandsworth,3,1895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,53,9,22,1,7105,13
Welling railway station,Bexley,4,1895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,53,9,22,0,590,25
Marylebone station,Westminster,1,1899,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17175,19686,19686,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,54,5,23,15,21547,2
Purley Oaks railway station,Croydon,6,1899,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,54,18,23,0,1252,21
Seven Kings railway station,Redbridge,4,1899,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165,176,176,291,406,521,909,1376,2087,2698,3489,4093,4802,4513,4243,3984,4099,10,1,10,0,56,54,2,23,0,909,24
Coulsdon North railway station,Croydon,6,1899,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,54,18,23,0,1252,21
Goodmayes railway station,Redbridge,4,1901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,165,176,176,291,406,521,909,1376,2087,2698,3489,4093,4802,4513,4243,3984,4099,10,1,10,0,56,55,3,25,0,1376,24
Old Street station,Islington,1,1901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,55,10,25,4,27275,4
West Ham station,Newham,3,1901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,55,16,25,1,9346,14
Cranley Gardens railway station,Haringey,,1902,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,56,19,26,1,6902,18
South Greenford railway station,Ealing,4,1903,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,57,8,26,4,1899,22
Brondesbury Park railway station,Brent,2,1904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,58,6,27,5,2442,29
Drayton Park railway station,Islington,2,1904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,58,12,27,4,27275,4
Elmstead Woods railway station,Bromley,4,1904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,58,27,27,0,663,32
Essex Road railway station,Islington,2,1904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,58,12,27,4,27275,4
Greenford station,Ealing,4,1904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,58,9,27,4,1899,22
Smitham railway station,Croydon,6,1904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,58,20,27,0,1640,21
Woodmansterne railway station,Croydon,6,1904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,58,20,27,0,1640,21
Drayton Green railway station,Ealing,4,1905,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,59,10,28,4,1899,22
Carshalton Beeches railway station,Sutton,5,1906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,60,8,29,0,900,28
Castle Bar Park railway station,Ealing,,1906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,60,11,29,4,1899,22
Wembley Stadium railway station,Brent,4,1906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,60,7,29,5,2442,29
West Ruislip station,Hillingdon,6,1906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158,162,162,179,195,212,230,281,344,507,749,1186,1881,1954,2030,1956,2046,19,1,19,0,116,60,4,29,6,281,26
Bandon Halt railway station,Croydon,,1906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,60,21,29,0,1640,21
Mill Hill (The Hale) railway station,Barnet,,1906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,143,153,153,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,60,8,29,6,977,27
Old Oak Common railway station (Old Oak Lane Halt),Hammersmith and Fulham,,1906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1404,1830,1830,3510,5190,6870,11302,13644,16474,16823,17180,15776,14486,12875,11444,8818,9517,6,1,6,0,16,60,4,29,11,13644,10
Uxbridge High Street railway station,Hillingdon,,1907,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158,162,162,179,195,212,230,281,344,507,749,1186,1881,1954,2030,1956,2046,19,1,19,0,116,61,5,30,6,281,26
South Ruislip station,Hillingdon,5,1908,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158,162,162,179,195,212,230,281,344,507,749,1186,1881,1954,2030,1956,2046,19,1,19,0,116,62,6,31,6,281,26
Crews Hill railway station,Enfield,6,1910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,63,17,31,0,1254,20
Enfield Chase railway station,Enfield,5,1910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,63,17,31,0,1254,20
Gidea Park railway station,Havering,6,1910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95,102,102,114,127,139,170,221,289,443,678,1063,1666,1919,2210,2136,2071,18,1,18,0,112,63,6,31,2,221,33
Gordon Hill railway station,Enfield,5,1910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,63,17,31,0,1254,20
Grange Park railway station,Enfield,5,1910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,63,17,31,0,1254,20
Sudbury & Harrow Road railway station,Brent,,1910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,63,8,31,6,2442,29
Sudbury Hill Harrow railway station,Harrow,,1910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,115,118,118,147,176,204,242,449,833,1277,1955,2905,4316,4169,4028,3886,4037,15,1,15,0,50,63,4,31,3,449,30
Reedham railway station,Croydon,6,1911,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,64,22,31,0,2149,21
Harlesden railway station,Brent,3,1912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,65,12,32,6,3812,29
Kenton railway station,Brent,4,1912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,65,12,32,6,3812,29
North Wembley railway station,Brent,4,1912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,65,12,32,6,3812,29
Stonebridge Park railway station,Brent,3,1912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,65,12,32,6,3812,29
Barnes Bridge station,Richmond,3,1916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,66,11,36,2,2347,15
Kensal Green railway station,Brent,2,1916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,66,13,36,10,3812,29
Headstone Lane station,Harrow,5,1917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,115,118,118,147,176,204,242,449,833,1277,1955,2905,4316,4169,4028,3886,4037,15,1,15,0,50,67,5,37,6,833,30
Syon Lane railway station,Hounslow,4,1925,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,68,9,41,3,2373,16
Northolt Park railway station,Ealing,5,1926,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,69,12,42,7,3430,22
Riddlesdown railway station,Croydon,6,1927,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,70,23,42,0,2562,21
Petts Wood railway station,Bromley,5,1928,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,71,28,42,0,939,32
Birkbeck station,Bromley,,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,72,29,42,0,939,32
Morden South railway station,Merton,4,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,72,10,42,6,3250,23
North Sheen railway station,Richmond,3,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,72,12,42,2,2664,15
South Merton railway station,Merton,,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,72,10,42,6,3250,23
St. Helier railway station,Merton,4,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,72,10,42,6,3250,23
Sutton Common railway station,Sutton,,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,72,10,42,0,1722,28
West Sutton railway station,Sutton,5,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,72,10,42,0,1722,28
Whitton railway station,Richmond,5,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,72,12,42,2,2664,15
Wimbledon Chase railway station,Merton,3,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,72,10,42,6,3250,23
Berrylands railway station,Kingston,5,1933,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,74,5,44,0,2476,17
South Kenton railway station,Brent,4,1933,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,74,14,44,19,5751,29
Albany Park railway station,Bexley,5,1935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,75,10,46,0,1621,25
Falconwood railway station,Bexley,4,1936,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,76,11,46,0,1621,25
Malden Manor railway station,Kingston,4,1938,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,77,7,47,0,2476,17
Motspur Park railway station,Merton,4,1938,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,77,11,47,6,4102,23
Tolworth railway station,Kingston,5,1938,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,77,7,47,0,2476,17
Chessington North railway station,Kingston,6,1939,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,78,9,48,0,2476,17
Chessington South railway station,Kingston,6,1939,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,78,9,48,0,2476,17
Dalston Kingsland railway station,Hackney,2,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,79,13,61,1,9420,9
Hackney Wick railway station,Tower Hamlets,2,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,80,21,61,22,7081,3
City Thameslink station,City of London,1,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,81,12,62,18,1770,1
Stratford International station,Newham,,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,83,17,63,12,0,14
